observed_at,reason,pool_max_open,pool_open,pool_in_use,pool_idle,pool_wait_count,pool_wait_duration_ms,in_flight_callbacks,stalled_in_flight,oldest_in_flight_age_ms,in_flight_current_phase
2026-08-23T11:39:08.065353471Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:39:38.065411226Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:40:08.066034952Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:40:43.065717255Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:41:18.065801259Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:41:53.065182425Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:42:23.065580284Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:42:53.065959059Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:43:28.065384319Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:43:58.065798281Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:44:33.06608705Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:45:08.065209011Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:45:38.066068844Z,periodic,32,4,1,3,0,0.000000,1,0,2.300417,commit=1
2026-08-23T11:46:13.065109104Z,periodic,32,6,4,2,0,0.000000,0,0,0.000000,
2026-08-23T11:46:43.0661368Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:47:13.06621102Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:47:48.065483303Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:48:18.065551877Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:48:48.065970581Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:49:23.065664372Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:49:53.065843186Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:50:23.065983502Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:50:53.066015849Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:51:28.065824008Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:52:03.065132496Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:52:33.065244578Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:53:03.065949856Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:53:38.065119877Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:54:08.065239255Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:54:38.066074246Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:55:08.066083744Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:55:43.065193374Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:56:13.065326226Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:56:48.065584724Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:57:18.065676292Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:57:53.065882566Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T11:58:28.065487458Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:58:58.0656353Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T11:59:28.065998508Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:00:03.065066275Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:00:33.065936294Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:01:03.066021869Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:01:38.065835827Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:02:08.065975113Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:02:38.066020819Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:03:13.066066073Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:03:48.06607089Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:04:23.065088022Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:04:53.065781119Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:05:28.065669698Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:05:58.06594544Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:06:33.06554299Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:07:03.065754326Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:07:33.06587367Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:08:03.065882335Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:08:38.065091405Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:09:08.065988528Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:09:43.065279173Z,periodic,32,6,3,3,0,0.000000,0,0,0.000000,
2026-08-23T12:10:13.066002299Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:10:48.06550662Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:11:23.066021517Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:11:58.065194764Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:12:28.065236053Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:12:58.065519515Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:13:33.066210628Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:14:08.065334285Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:14:38.065838632Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:15:08.065937483Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:15:43.065502817Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:16:13.06586299Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:16:43.0659423Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:17:13.066066037Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:17:48.065173748Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:18:18.065267038Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:18:48.065570825Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:19:18.065712718Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:19:53.06584113Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:20:23.066006487Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:20:58.066200366Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:21:33.065571141Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:22:08.065961267Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:22:43.065177362Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:23:13.065187269Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:23:48.065841062Z,periodic,32,6,4,2,0,0.000000,0,0,0.000000,
2026-08-23T12:24:18.065982209Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:24:53.065822992Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:25:28.065430185Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:26:03.065623086Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:26:33.065724635Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T12:27:03.065801866Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T12:27:33.065874503Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
